id;sexe;nais;educ;csp;salemb;salac;anc;exp;mino
1;0;1972;15;3;27000;57000;98;144;0
2;1;1966;15;1;12750;27900;98;115;0
3;0;1982;15;1;14250;46000;97;48;0
4;0;1982;12;1;14250;42300;97;103;0
5;1;1960;12;1;11550;26250;97;48;0
6;0;1974;19;3;45000;110625;96;120;0
7;0;1981;17;3;30000;81250;96;18;0
8;0;1984;12;1;14250;23250;95;46;0
9;0;1967;12;2;14100;30750;94;240;0
10;0;1980;16;3;23730;60000;94;59;0
11;0;1974;18;3;26250;73750;94;56;0
12;1;9999;15;1;19500;33900;93;192;0
13;0;1979;12;1;14100;24150;92;130;0
14;0;1981;19;3;27480;68750;92;8;0
15;1;1988;12;1;10950;25950;92;0;0
16;1;1970;12;1;10050;24600;92;44;0
17;1;1980;12;1;14400;25200;91;83;0
18;0;1983;12;1;15000;30450;91;49;1
19;0;1972;15;1;18000;28350;91;151;1
20;1;9999;12;1;18750;31500;90;205;0
21;0;9999;21;3;37500;65000;88;264;0
22;0;1967;12;1;15000;30900;88;252;0
23;1;1959;12;1;13200;24450;88;107;0
24;1;9999;8;1;9750;16650;88;412;0
25;1;1979;15;1;14250;26550;88;61;1
26;0;1982;12;1;15000;27600;87;75;0
27;0;1974;16;3;26250;42300;87;126;0
28;0;9999;8;2;15000;30750;87;451;0
29;1;1987;12;1;12900;26700;87;18;0
30;1;1987;12;1;13050;26550;87;11;1
31;1;1971;16;1;12750;25050;87;123;1
32;1;1985;15;1;16500;29400;86;24;0
33;1;1982;16;3;17250;46875;86;19;0
34;1;9999;12;1;10200;17100;85;72;0
35;0;1985;12;1;13050;25200;85;29;1
36;1;1980;12;1;12750;24000;85;59;1
37;0;1980;15;1;15750;39300;84;72;0
38;0;1984;15;1;20400;37500;84;33;0
39;0;1969;12;1;12750;19650;84;180;1
40;1;9999;8;1;10200;19800;83;75;0
41;1;1985;12;1;12000;33900;82;11;0
42;1;1960;12;1;10200;17250;82;358;0
43;1;9999;8;1;10200;17400;81;390;0
44;1;1962;8;1;10200;17100;81;0;1
45;1;1989;12;1;11250;23400;80;0;0
46;1;1989;12;1;10950;24750;79;5;0
47;0;1988;12;1;12750;26700;78;25;0
48;0;1961;12;2;15750;30750;77;317;0
49;0;1984;16;1;21240;44875;77;22;0
50;0;1989;12;1;11550;27750;77;12;1
51;1;1973;12;1;12000;22050;76;6;0
52;1;9999;12;1;14250;22500;76;90;0
53;0;1985;12;1;15750;26700;76;18;1
54;1;1962;12;1;12000;24450;75;144;0
55;0;1984;16;3;21240;47250;74;45;0
56;1;1962;8;1;10650;23700;74;281;0
57;0;1983;12;1;16500;35700;73;72;0
58;1;9999;8;1;12000;21150;73;159;0
59;0;1975;12;2;15750;31200;73;155;1
60;0;1981;15;1;17250;25950;72;83;0
61;1;1986;16;3;18000;58125;71;11;0
62;0;1984;15;1;15750;29850;70;48;0
63;0;1985;15;1;15750;25350;70;56;0
64;0;1985;19;3;31980;65000;69;74;0
65;0;1979;19;3;32490;66875;69;81;0
66;1;1989;12;1;12450;24450;69;12;0
67;1;9999;12;1;10200;16200;68;180;0
68;0;1984;12;1;15000;30750;66;56;0
69;1;1981;12;1;15750;24450;66;87;0
70;0;1983;15;1;16500;28050;66;84;1
71;0;1988;15;1;14250;31650;65;10;0
72;1;9999;15;1;14250;20700;65;241;0
73;0;1982;12;1;16500;33900;64;106;0
74;1;1985;16;3;19980;55750;64;36;0
75;0;1986;15;1;15750;26400;64;32;1
76;1;1988;12;1;14250;29400;63;9;0
